#document-id	substitutions	insertions	deletions	matches	ref-count	prediction-count	SER	precision	recall	F1-score
11319941	12.3708	3	20	200.6292	233	216	0.1518	0.9288	0.8611	0.8937
17029558	59.6013	5	67	150.3987	277	215	0.4751	0.6995	0.5430	0.6114
14691534	30.7164	3	72	128.2836	231	162	0.4576	0.7919	0.5553	0.6528
17503968	3.4986	2	78	15.5014	97	21	0.8608	0.7382	0.1598	0.2627
11604102	0.4286	2	2	72.5714	75	75	0.0590	0.9676	0.9676	0.9676
14675480	64.5517	15	80	422.4483	567	502	0.2814	0.8415	0.7451	0.7904
16517939	2.6900	2	17	53.3100	73	58	0.2971	0.9191	0.7303	0.8139
15615595	40.4880	4	164	411.5120	616	456	0.3385	0.9024	0.6680	0.7677
17465682	17.5622	5	87	301.4378	406	324	0.2699	0.9304	0.7425	0.8259
15328538	12.3394	4	17	136.6606	166	153	0.2008	0.8932	0.8233	0.8568
16027110	7.8037	1	1	44.1963	53	53	0.1850	0.8339	0.8339	0.8339
16968134	47.7804	4	71	312.2196	431	364	0.2849	0.8577	0.7244	0.7855
14624252	23.4011	5	29	192.5989	245	221	0.2343	0.8715	0.7861	0.8266
17206865	32.3593	30	28	122.6407	183	185	0.4938	0.6629	0.6702	0.6665
15018652	4.6594	3	12	77.3406	94	85	0.2091	0.9099	0.8228	0.8641
16611361	3.5171	2	2	73.4829	79	79	0.0952	0.9302	0.9302	0.9302
15784609	20.1576	7	23	168.8424	212	196	0.2366	0.8614	0.7964	0.8277
16800892	1.3182	1	34	113.6818	149	116	0.2437	0.9800	0.7630	0.8580
16410827	84.5863	18	32	309.4137	426	412	0.3159	0.7510	0.7263	0.7385
15238161	56.8074	32	78	366.1926	501	455	0.3329	0.8048	0.7309	0.7661
17201918	34.4358	2	131	204.5642	370	241	0.4525	0.8488	0.5529	0.6696
15070402	21.6964	9	41	98.3036	161	129	0.4453	0.7620	0.6106	0.6780
15850489	16.0816	4	12	54.9184	83	75	0.3865	0.7322	0.6617	0.6952
17565376	26.4710	7	186	85.5290	298	119	0.7365	0.7187	0.2870	0.4102
16026622	1.7448	1	4	51.2552	57	54	0.1183	0.9492	0.8992	0.9235
17677002	25.4983	2	26	118.5017	170	146	0.3147	0.8117	0.6971	0.7500
15560850	0.0000	0	0	45.0000	45	45	0.0000	1.0000	1.0000	1.0000
15619330	4.8755	3	28	161.1245	194	169	0.1849	0.9534	0.8305	0.8877
15882093	39.4722	9	297	176.5278	513	225	0.6734	0.7846	0.3441	0.4784
16787536	57.2757	11	95	258.7243	411	327	0.3973	0.7912	0.6295	0.7011
TOTAL	754.1888	196	1734	4927.8112	7416	5878	0.3619	0.8383	0.6645	0.7414
