#document-id	substitutions	insertions	deletions	matches	ref-count	prediction-count	SER	precision	recall	F1-score
11319941	1.7980	45	30	6.2020	38	53	2.0210	0.1170	0.1632	0.1363
11604102	2.9798	44	63	4.0202	70	51	1.5711	0.0788	0.0574	0.0664
14624252	1.7504	16	106	1.2496	109	19	1.1353	0.0658	0.0115	0.0195
14675480	4.3993	93	164	7.6007	176	105	1.4852	0.0724	0.0432	0.0541
14691534	0.0000	36	77	5.0000	82	41	1.3780	0.1220	0.0610	0.0813
15018652	1.7008	28	52	4.2992	58	34	1.4086	0.1264	0.0741	0.0935
15070402	1.8179	85	152	12.1821	166	99	1.4387	0.1231	0.0734	0.0919
15238161	0.9867	75	158	6.0133	165	82	1.4181	0.0733	0.0364	0.0487
15328538	4.4877	71	88	4.5123	97	80	1.6854	0.0564	0.0465	0.0510
15560850	0.9645	13	52	4.0355	57	18	1.1573	0.2242	0.0708	0.1076
15615595	0.0000	30	44	4.0000	48	34	1.5417	0.1176	0.0833	0.0976
15619330	2.1441	55	107	10.8559	120	68	1.3679	0.1596	0.0905	0.1155
15784609	1.8669	57	79	9.1331	90	68	1.5319	0.1343	0.1015	0.1156
15850489	0.0000	21	57	4.0000	61	25	1.2787	0.1600	0.0656	0.0930
15882093	4.2941	105	256	8.7059	269	118	1.3580	0.0738	0.0324	0.0450
16026622	1.6175	20	68	2.3825	72	24	1.2447	0.0993	0.0331	0.0496
16027110	2.7823	58	94	5.2177	102	66	1.5175	0.0791	0.0512	0.0621
16410827	5.9026	79	191	9.0974	206	94	1.3393	0.0968	0.0442	0.0606
16517939	0.0000	32	77	5.0000	82	37	1.3293	0.1351	0.0610	0.0840
16611361	0.0000	14	41	2.0000	43	16	1.2791	0.1250	0.0465	0.0678
16787536	0.7362	17	82	1.2638	84	19	1.1873	0.0665	0.0150	0.0245
16800892	0.0000	67	170	14.0000	184	81	1.2880	0.1728	0.0761	0.1057
16968134	1.4306	113	175	12.5694	189	127	1.5314	0.0990	0.0665	0.0796
17029558	2.5323	48	72	5.4677	80	56	1.5317	0.0976	0.0683	0.0804
17201918	13.1206	184	267	25.8794	306	223	1.5167	0.1161	0.0846	0.0978
17206865	3.3823	69	170	6.6177	180	79	1.3466	0.0838	0.0368	0.0511
17465682	3.7073	71	141	7.2927	152	82	1.4191	0.0889	0.0480	0.0623
17503968	9.6074	85	199	7.3926	216	102	1.3593	0.0725	0.0342	0.0465
17565376	0.8378	21	79	2.1622	82	24	1.2297	0.0901	0.0264	0.0408
17677002	1.9548	29	90	5.0452	97	36	1.2470	0.1401	0.0520	0.0759
TOTAL	76.8020	1681	3401	203.1980	3681	1961	1.4015	0.1036	0.0552	0.0720
