#document-id	substitutions	insertions	deletions	matches	ref-count	prediction-count	SER	precision	recall	F1-score
11319941	12.5850	5	17	196.4150	226	214	0.1530	0.9178	0.8691	0.8928
11604102	1.0000	2	0	58.0000	59	61	0.0508	0.9508	0.9831	0.9667
14624252	16.0670	6	4	197.9330	218	220	0.1196	0.8997	0.9079	0.9038
14675480	59.9516	14	16	483.0484	559	557	0.1609	0.8672	0.8641	0.8657
14691534	31.5140	6	2	172.4860	206	210	0.1918	0.8214	0.8373	0.8293
15018652	5.0747	1	4	64.9253	74	71	0.1361	0.9144	0.8774	0.8955
15070402	37.7117	18	18	98.2883	154	154	0.4786	0.6382	0.6382	0.6382
15238161	48.3430	52	20	269.6570	338	370	0.3560	0.7288	0.7978	0.7617
15328538	1.5842	4	10	92.4158	104	98	0.1498	0.9430	0.8886	0.9150
15560850	0.9049	0	0	44.0951	45	45	0.0201	0.9799	0.9799	0.9799
15615595	85.8018	16	36	484.1982	606	586	0.2274	0.8263	0.7990	0.8124
15619330	15.5122	9	5	158.4878	179	183	0.1649	0.8661	0.8854	0.8756
15784609	16.8460	3	14	171.1540	202	191	0.1676	0.8961	0.8473	0.8710
15850489	17.5908	8	2	48.4092	68	74	0.4057	0.6542	0.7119	0.6818
15882093	66.0327	16	199	224.9673	490	307	0.5735	0.7328	0.4591	0.5645
16026622	0.9765	15	1	50.0235	52	66	0.3265	0.7579	0.9620	0.8479
16027110	6.6443	2	0	38.3557	45	47	0.1921	0.8161	0.8523	0.8338
16410827	52.0357	46	11	334.9643	398	433	0.2740	0.7736	0.8416	0.8062
16517939	6.3215	0	0	60.6785	67	67	0.0944	0.9056	0.9056	0.9056
16611361	1.6303	0	1	66.3697	69	68	0.0381	0.9760	0.9619	0.9689
16787536	59.9859	10	52	289.0141	401	359	0.3042	0.8051	0.7207	0.7606
16800892	13.1528	0	10	113.8472	137	127	0.1690	0.8964	0.8310	0.8625
16968134	90.0080	16	20	209.9920	320	316	0.3938	0.6645	0.6562	0.6604
17029558	48.0202	31	34	165.9798	248	245	0.4557	0.6775	0.6693	0.6733
17201918	98.7662	13	50	171.2338	320	283	0.5055	0.6051	0.5351	0.5679
17206865	14.0829	23	9	145.9171	169	183	0.2727	0.7974	0.8634	0.8291
17465682	57.0211	9	14	220.9789	292	287	0.2740	0.7700	0.7568	0.7633
17503968	45.4333	2	17	33.5667	96	81	0.6712	0.4144	0.3497	0.3793
17565376	49.5112	3	118	115.4888	283	168	0.6025	0.6874	0.4081	0.5121
17677002	10.2094	5	10	105.7906	126	121	0.2001	0.8743	0.8396	0.8566
TOTAL	970.3188	335	694	4886.6812	6551	6192	0.3052	0.7892	0.7459	0.7670
