ONTOLOGY	TOTAL	% EXACT MATCH	% MISMATCH	% FUZZY MATCH	% FUZZY MISMATCH	% NA (out of mismatch)	TOTAL NO DUPLICATES	% NO DUPLICATES EXACT MATCH	% NO DUPLICATES MISMATCH	% NO DUPLICATES NA (out of mismatch)
CHEBI	90881	0.40	0.60	0.82	0.18	0.03	87243	0.37	0.63	0.03
CL	6990	0.98	0.02	0.99	0.01	0.00	4064	0.97	0.03	0.00
GO_BP	89275	0.72	0.28	0.89	0.11	0.02	82402	0.70	0.30	0.02
GO_CC	9617	0.96	0.04	0.99	0.01	0.02	6451	0.95	0.05	0.02
GO_MF	28989	0.77	0.23	0.91	0.09	0.01	28674	0.77	0.23	0.01
MOP	3488	0.95	0.05	0.99	0.01	0.00	3340	0.95	0.05	0.00
NCBITaxon	1122213	0.01	0.99	0.70	0.30	0.07	1111239	0.00	1.00	0.07
PR	655588	0.03	0.97	0.58	0.42	0.10	628620	0.01	0.99	0.11
SO	12766	0.99	0.01	1.00	0.00	0.00	4074	0.98	0.02	0.00
UBERON	45151	0.95	0.05	0.99	0.01	0.00	35484	0.94	0.06	0.00
