ONTOLOGY	TOTAL	% EXACT MATCH	% MISMATCH	% FUZZY MATCH	% FUZZY MISMATCH	% NA (out of mismatch)	TOTAL NO DUPLICATES	% NO DUPLICATES EXACT MATCH	% NO DUPLICATES MISMATCH	% NO DUPLICATES NA (out of mismatch)
CHEBI_EXT	97712	0.51	0.49	0.85	0.15	0.08	87791	0.47	0.53	0.08
CL_EXT	8953	0.98	0.02	1.00	0.00	0.01	4047	0.97	0.03	0.02
GO_BP_EXT	91252	0.73	0.27	0.90	0.10	0.02	80532	0.71	0.29	0.02
GO_CC_EXT	13270	0.97	0.03	0.98	0.02	0.04	6360	0.95	0.05	0.06
GO_MF_EXT	3583	0.93	0.07	0.94	0.06	0.02	454	0.92	0.08	0.17
MOP_EXT	3625	0.95	0.05	0.99	0.01	0.00	3352	0.95	0.05	0.00
NCBITaxon_EXT	408570	0.01	0.99	0.74	0.26	0.09	401366	0.00	1.00	0.09
PR_EXT	657809	0.02	0.98	0.69	0.31	0.07	628431	0.00	1.00	0.07
SO_EXT	27082	0.94	0.06	0.96	0.04	0.01	4635	0.96	0.04	0.06
UBERON_EXT	47565	0.94	0.06	0.99	0.01	0.01	35681	0.93	0.07	0.01
