ONTOLOGY	TOTAL	% EXACT MATCH	% MISMATCH	% FUZZY MATCH	% FUZZY MISMATCH	% NA (out of mismatch)	TOTAL NO DUPLICATES	% NO DUPLICATES EXACT MATCH	% NO DUPLICATES MISMATCH	% NO DUPLICATES NA (out of mismatch)
CHEBI	82132	0.39	0.61	0.81	0.19	0.03	81992	0.39	0.61	0.03
CL	3983	0.97	0.03	0.99	0.01	0.00	3974	0.97	0.03	0.00
GO_BP	82287	0.67	0.33	0.88	0.12	0.02	82241	0.67	0.33	0.02
GO_CC	6424	0.95	0.05	0.98	0.02	0.04	6403	0.96	0.04	0.04
GO_MF	28686	0.75	0.25	0.90	0.10	0.01	28662	0.75	0.25	0.01
MOP	3336	0.95	0.05	0.99	0.01	0.00	3336	0.95	0.05	0.00
NCBITaxon	1115886	0.00	1.00	0.70	0.30	0.04	1110950	0.00	1.00	0.04
PR	640996	0.00	1.00	0.57	0.43	0.07	616833	0.00	1.00	0.07
SO	5414	0.98	0.02	1.00	0.00	0.00	4017	0.99	0.01	0.00
UBERON	35335	0.95	0.05	0.99	0.01	0.00	35220	0.95	0.05	0.00
