ONTOLOGY	TOTAL	% EXACT MATCH	% MISMATCH	% FUZZY MATCH	% FUZZY MISMATCH	% NA (out of mismatch)	TOTAL NO DUPLICATES	% NO DUPLICATES EXACT MATCH	% NO DUPLICATES MISMATCH	% NO DUPLICATES NA (out of mismatch)
CHEBI	81797	0.53	0.47	0.93	0.07	0.00	81654	0.53	0.47	0.00
CL	3955	0.96	0.04	0.99	0.01	0.00	3946	0.96	0.04	0.00
GO_BP	81989	0.48	0.52	0.91	0.09	0.00	81942	0.48	0.52	0.00
GO_CC	6237	0.95	0.05	0.99	0.01	0.00	6215	0.95	0.05	0.00
GO_MF	28398	0.75	0.25	0.96	0.04	0.00	28373	0.75	0.25	0.00
MOP	3167	0.95	0.05	0.99	0.01	0.00	3167	0.95	0.05	0.00
NCBITaxon	1115894	0.02	0.98	0.88	0.12	0.00	1110964	0.01	0.99	0.00
PR	640541	0.05	0.95	0.81	0.19	0.00	616325	0.05	0.95	0.00
SO	5359	0.98	0.02	0.99	0.01	0.00	3981	0.98	0.02	0.00
UBERON	35249	0.91	0.09	0.99	0.01	0.00	35136	0.91	0.09	0.00
