Ontology	total annotations	precision (concept id)	recall (concept id)	f1 score (concept id)	precision (character)	recall (character)	f1 score (character)
CHEBI	1855	1.0000	0.9439	0.9712	0.9985	0.9862	0.9930
CL	975	1.0000	0.9815	0.9907	1.0000	0.9958	0.9979
GO_BP	2954	1.0000	0.9821	0.9909	1.0000	0.9938	0.9969
GO_CC	883	1.0000	0.9898	0.9949	1.0000	0.9958	0.9979
GO_MF	91	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
MOP	83	1.0000	0.9759	0.9878	1.0000	0.9956	0.9978
NCBITaxon	3020	1.0000	0.8904	0.9420	0.9872	0.9758	0.9824
PR	3483	1.0000	0.1860	0.3137	0.9981	0.7971	0.8868
SO	3265	1.0000	0.9905	0.9952	1.0000	0.9964	0.9982
UBERON	4967	1.0000	0.9710	0.9853	1.0000	0.9932	0.9966
