Ontology	SER	Precision	Recall	F1-score
CHEBI	1.2163	0.4051	0.6624	0.5027
CL	1.4687	0.3140	0.5004	0.3859
GO_BP	1.8629	0.2602	0.6065	0.3642
GO_CC	2.7854	0.1997	0.6445	0.3049
GO_MF	0.0435	1.0000	0.9565	0.9778
MOP	0.5877	0.6746	0.7623	0.7158
NCBITaxon	0.2503	0.8096	0.8709	0.8391
PR	0.9543	0.4236	0.2121	0.2827
SO	2.2128	0.2745	0.8070	0.4096
UBERON	1.1500	0.3992	0.6795	0.5029
