Ontology	SER	Precision	Recall	F1-score
CHEBI	1.5495	0.0694	0.0456	0.0550
CL	1.5974	0.0628	0.0453	0.0526
GO_BP	1.4015	0.1036	0.0552	0.0720
GO_CC	1.5346	0.0657	0.0412	0.0506
GO_MF	0.7727	1.0000	0.2273	0.3704
MOP	3.1622	0.0652	0.1622	0.0930
NCBITaxon	1.4004	0.1328	0.0737	0.0948
PR	1.6043	0.0610	0.0448	0.0516
SO	1.6006	0.0943	0.0714	0.0813
UBERON	1.6071	0.0902	0.0708	0.0793
