Ontology	SER	Precision	Recall	F1-score
CHEBI_EXT	0.3030	0.8700	0.7219	0.7891
CL_EXT	0.3281	0.7936	0.6900	0.7381
GO_BP_EXT	0.3386	0.7674	0.6923	0.7279
GO_CC_EXT	0.1965	0.9208	0.8315	0.8738
GO_MF_EXT	0.4700	0.7803	0.5443	0.6413
MOP_EXT	0.3495	0.8652	0.7439	0.8000
NCBITaxon_EXT	0.1644	0.9004	0.8434	0.8710
PR_EXT	0.7031	0.5730	0.3567	0.4397
SO_EXT	0.2890	0.8062	0.7337	0.7682
UBERON_EXT	0.3487	0.8541	0.6779	0.7558
