Ontology	total annotations	precision (concept id)	recall (concept id)	f1 score (concept id)	precision (character)	recall (character)	f1 score (character)	empty annotation count
CHEBI_EXT	5248	1.0000	0.6393	0.7800	0.9846	0.6627	0.7922	1385
CL_EXT	2872	1.0000	0.6706	0.8028	0.9997	0.8362	0.9107	318
GO_BP_EXT	5847	1.0000	0.3426	0.5103	0.8118	0.3829	0.5204	2564
GO_CC_EXT	3217	1.0000	0.8032	0.8909	1.0000	0.8413	0.9138	588
GO_MF_EXT	1822	1.0000	0.6032	0.7525	0.9970	0.6397	0.7794	554
MOP_EXT	111	1.0000	0.6396	0.7802	0.4243	0.4377	0.4309	39
NCBITaxon_EXT	3219	1.0000	0.8552	0.9220	0.9988	0.8732	0.9318	403
PR_EXT	7932	1.0000	0.0852	0.1571	0.9800	0.2066	0.3413	2211
SO_EXT	9136	1.0000	0.1865	0.3144	0.8949	0.2189	0.3517	3638
UBERON_EXT	7416	1.0000	0.6785	0.8085	0.9815	0.7460	0.8477	2138
