Ontology	total annotations	precision (concept id)	recall (concept id)	f1 score (concept id)	precision (character)	recall (character)	f1 score (character)	% fake concept ids
CHEBI	2200	0.0000	0.0000	0.0000	0.9887	0.6048	0.7505	0.0005
CL	1749	1.0000	0.6941	0.8194	1.0000	0.8642	0.9271	0.0879
GO_BP	3681	1.0000	0.6438	0.7833	1.0000	0.8524	0.9203	0.0069
GO_CC	1184	1.0000	0.8108	0.8955	1.0000	0.9236	0.9603	0.0402
GO_MF	94	1.0000	0.9787	0.9892	1.0000	0.9904	0.9952	0.0000
MOP	101	1.0000	0.9703	0.9849	1.0000	0.9946	0.9973	0.0000
NCBITaxon	3101	0.0000	0.0000	0.0000	0.8258	0.7323	0.7762	0.0000
PR	6409	0.0000	0.0000	0.0000	0.6707	0.4031	0.5035	0.0000
SO	3446	1.0000	0.9698	0.9847	1.0000	0.9911	0.9956	0.0000
UBERON	6551	0.0000	0.0000	0.0000	1.0000	0.6873	0.8147	0.0017
