Ontology	total annotations	precision (concept id)	recall (concept id)	f1 score (concept id)	precision (character)	recall (character)	f1 score (character)	% fake concept id (out of total mismatch)	# new concept ids	# unique new concept ids	# new spanned text	# unique new spanned text
CHEBI_EXT	5248	1.0000	0.8626	0.9262	0.9965	0.8404	0.9118	0.1664	0	0	476	188
CL_EXT	2872	1.0000	0.8169	0.8992	0.9999	0.9280	0.9626	0.0913	0	0	775	209
GO_BP_EXT	5847	1.0000	0.7973	0.8872	0.9937	0.7570	0.8594	0.0262	0	0	861	431
GO_CC_EXT	3217	1.0000	0.9285	0.9629	0.9982	0.9355	0.9658	0.2087	0	0	339	113
GO_MF_EXT	1822	1.0000	0.6850	0.8130	0.9270	0.6884	0.7901	0.0366	0	0	515	146
MOP_EXT	111	1.0000	0.9189	0.9577	1.0000	0.9683	0.9839	0.0000	0	0	21	10
NCBITaxon_EXT	3219	1.0000	0.8307	0.9075	0.9864	0.9331	0.9590	0.2532	59	30	123	79
PR_EXT	7932	1.0000	0.1548	0.2681	0.9172	0.7155	0.8039	0.0479	2	1	3114	429
SO_EXT	9136	1.0000	0.9205	0.9586	0.9948	0.9098	0.9504	0.0179	0	0	318	183
UBERON_EXT	7416	1.0000	0.8050	0.8920	0.9987	0.9173	0.9563	0.0083	0	0	1609	532
