Ontology	total annotations	precision (concept id)	recall (concept id)	f1 score (concept id)	precision (character)	recall (character)	f1 score (character)	% fake concept id (out of total mismatch)	# new concept ids	# unique new concept ids	# new spanned text	# unique new spanned text
CHEBI	2200	1.0000	0.8218	0.9022	0.9985	0.9393	0.9680	0.1148	0	0	345	148
CL	1749	1.0000	0.7198	0.8371	1.0000	0.9226	0.9598	0.0000	0	0	774	208
GO_BP	3681	1.0000	0.8221	0.9023	1.0000	0.9265	0.9618	0.0198	0	0	727	367
GO_CC	1184	1.0000	0.8117	0.8960	1.0000	0.9118	0.9539	0.0090	0	0	301	85
GO_MF	94	1.0000	0.9787	0.9892	1.0000	0.9904	0.9952	0.5000	0	0	3	3
MOP	101	1.0000	0.9505	0.9746	1.0000	0.9892	0.9946	0.0000	0	0	18	7
NCBITaxon	3101	1.0000	0.8671	0.9288	0.9872	0.9693	0.9782	0.1092	0	0	81	52
PR	6409	1.0000	0.1031	0.1870	0.9981	0.7554	0.8600	0.0172	2	1	2926	388
SO	3446	1.0000	0.9710	0.9853	1.0000	0.9906	0.9953	0.0000	0	0	181	105
UBERON	6551	1.0000	0.7846	0.8793	1.0000	0.9473	0.9729	0.0184	0	0	1584	514
