Ontology	total annotations	precision (concept id)	recall (concept id)	f1 score (concept id)	precision (character)	recall (character)	f1 score (character)	% fake concept ids
CHEBI	2200	1.0000	0.6477	0.7862	0.9966	0.8884	0.9394	0.0490
CL	1749	1.0000	0.7238	0.8398	1.0000	0.9225	0.9597	0.0000
GO_BP	3681	1.0000	0.7873	0.8810	1.0000	0.9121	0.9540	0.0204
GO_CC	1184	1.0000	0.8007	0.8893	1.0000	0.9150	0.9556	0.0127
GO_MF	94	1.0000	0.9787	0.9892	1.0000	0.9926	0.9963	0.5000
MOP	101	1.0000	0.9703	0.9849	1.0000	0.9964	0.9982	0.0000
NCBITaxon	3101	0.0000	0.0000	0.0000	0.9003	0.7356	0.8097	0.6982
PR	6409	1.0000	0.0309	0.0599	0.9963	0.7469	0.8537	0.0148
SO	3446	1.0000	0.9626	0.9809	1.0000	0.9859	0.9929	0.0155
UBERON	6551	1.0000	0.7364	0.8482	1.0000	0.9338	0.9658	0.0006
