Ontology	SER	Precision	Recall	F1-score
CHEBI	0.6678	0.6259	0.6535	0.6394
CL	0.8413	0.5282	0.4995	0.5134
GO_BP	1.0467	0.4273	0.6439	0.5137
GO_CC	5.9458	0.0977	0.6234	0.1689
GO_MF	0.0449	1.0000	0.9551	0.9770
MOP	0.4146	0.8146	0.7339	0.7721
NCBITaxon	0.4191	0.6971	0.8689	0.7736
PR	0.9559	0.4103	0.2538	0.3136
SO	2.3197	0.2718	0.8391	0.4106
UBERON	0.5008	0.6844	0.6779	0.6812
