Ontology	total annotations	precision (concept id)	recall (concept id)	f1 score (concept id)	precision (character)	recall (character)	f1 score (character)	% fake concept ids
CHEBI	2200	1.0000	0.7827	0.8781	0.9988	0.9363	0.9665	0.0042
CL	1749	1.0000	0.5626	0.7201	0.6557	0.6528	0.6543	0.1359
GO_BP	3681	1.0000	0.5205	0.6847	0.9802	0.8405	0.9050	0.0000
GO_CC	1184	1.0000	0.7627	0.8654	0.9957	0.8210	0.9000	0.0498
GO_MF	94	1.0000	0.5106	0.6761	0.9969	0.9350	0.9650	0.0000
MOP	101	1.0000	0.8020	0.8901	1.0000	0.8603	0.9249	0.0000
NCBITaxon	3101	0.0000	0.0000	0.0000	0.9554	0.7357	0.8313	0.0100
PR	6409	1.0000	0.0810	0.1498	0.9995	0.7444	0.8533	0.0076
SO	3446	1.0000	0.9585	0.9788	1.0000	0.9617	0.9805	0.0000
UBERON	6551	1.0000	0.7393	0.8501	0.9999	0.8813	0.9369	0.0029
