Ontology	precision	recall	f1 score
CHEBI_EXT	0.9240	0.8404	0.8802
CL_EXT	0.8000	0.8000	0.8000
GO_BP_EXT	0.8871	0.8730	0.8800
GO_CC_EXT	0.8667	0.8667	0.8667
GO_MF_EXT	0.9211	0.9211	0.9211
MOP_EXT	1.0000	1.0000	1.0000
NCBITaxon_EXT	1.0000	0.9918	0.9959
PR_EXT	0.6857	0.4729	0.5598
SO_EXT	0.8232	0.7883	0.8054
UBERON_EXT	0.9110	0.7824	0.8418
