Ontology	total annotations	precision (concept id)	recall (concept id)	f1 score (concept id)	precision (character)	recall (character)	f1 score (character)
CHEBI_EXT	476	1.0000	0.3193	0.4841	0.9554	0.6722	0.7892
CL_EXT	775	1.0000	0.3587	0.5280	0.9993	0.7736	0.8721
GO_BP_EXT	861	1.0000	0.2555	0.4070	0.9323	0.5713	0.7085
GO_CC_EXT	339	1.0000	0.3923	0.5636	0.9720	0.5680	0.7170
GO_MF_EXT	515	1.0000	0.3087	0.4718	0.7565	0.4549	0.5681
MOP_EXT	21	1.0000	0.6667	0.8000	1.0000	0.8481	0.9178
NCBITaxon_EXT	123	1.0000	0.0081	0.0161	0.8912	0.6818	0.7726
PR_EXT	3114	1.0000	0.0019	0.0038	0.9762	0.6611	0.7883
SO_EXT	318	1.0000	0.5094	0.6750	0.8645	0.5932	0.7036
UBERON_EXT	1609	1.0000	0.2312	0.3756	1.0000	0.7883	0.8816
