Ontology	precision	recall	f1 score
CHEBI_EXT	0.9171	0.9415	0.9291
CL_EXT	0.9375	1.0000	0.9677
GO_BP_EXT	0.8385	0.8651	0.8516
GO_CC_EXT	0.9091	1.0000	0.9524
GO_MF_EXT	0.9000	0.9474	0.9231
MOP_EXT	1.0000	1.0000	1.0000
NCBITaxon_EXT	0.9839	1.0000	0.9919
PR_EXT	0.7191	0.8325	0.7717
SO_EXT	0.8303	0.8185	0.8244
UBERON_EXT	0.9383	0.8941	0.9157
