Ontology	SER	Precision	Recall	F1-score
CHEBI_EXT	0.2672	0.8340	0.7758	0.8039
CL_EXT	0.3327	0.7442	0.7540	0.7491
GO_BP_EXT	0.3227	0.7346	0.7359	0.7353
GO_CC_EXT	0.1527	0.9081	0.8887	0.8983
GO_MF_EXT	0.4756	0.6827	0.5771	0.6255
MOP_EXT	0.2401	0.8293	0.9041	0.8651
NCBITaxon_EXT	0.1609	0.8805	0.8450	0.8624
PR_EXT	0.6111	0.5034	0.5352	0.5188
SO_EXT	0.2626	0.8055	0.7616	0.7829
UBERON_EXT	0.2960	0.7875	0.7555	0.7711
