Ontology	total annotations	precision (concept id)	recall (concept id)	f1 score (concept id)	precision (character)	recall (character)	f1 score (character)
CHEBI	345	1.0000	0.1652	0.2836	0.9867	0.6871	0.8101
CL	774	1.0000	0.3902	0.5613	1.0000	0.8305	0.9074
GO_BP	727	1.0000	0.1719	0.2934	1.0000	0.6527	0.7898
GO_CC	301	1.0000	0.2890	0.4485	1.0000	0.6654	0.7991
GO_MF	3	1.0000	0.3333	0.5000	1.0000	0.7000	0.8235
MOP	18	1.0000	0.8333	0.9091	1.0000	0.9596	0.9794
NCBITaxon	81	0.0000	0.0000	0.0000	0.8978	0.7183	0.7981
PR	2926	1.0000	0.0044	0.0088	0.9968	0.7059	0.8265
SO	181	1.0000	0.6188	0.7645	1.0000	0.8862	0.9397
UBERON	1584	1.0000	0.2001	0.3335	1.0000	0.8033	0.8909
