Ontology	SER	Precision	Recall	F1-score
CHEBI	0.7568	0.5740	0.6160	0.5942
CL	0.6666	0.6778	0.4786	0.5611
GO_BP	0.6544	0.5979	0.6398	0.6182
GO_CC	2.8147	0.2103	0.7098	0.3244
GO_MF	0.1972	1.0000	0.8028	0.8906
MOP	0.5667	0.9674	0.4333	0.5985
NCBITaxon	0.2265	0.8243	0.8812	0.8518
PR	0.8772	0.5320	0.1838	0.2732
SO	0.4449	0.7077	0.8726	0.7815
UBERON	0.4663	0.7254	0.6582	0.6901
