Ontology	total annotations	precision (concept id)	recall (concept id)	f1 score (concept id)	precision (character)	recall (character)	f1 score (character)	% fake concept ids
CHEBI	2200	0.0000	0.0000	0.0000	0.9969	0.5816	0.7346	0.5564
CL	1749	1.0000	0.6987	0.8226	1.0000	0.8047	0.8918	0.1898
GO_BP	3681	1.0000	0.2711	0.4266	1.0000	0.5588	0.7170	0.0157
GO_CC	1184	1.0000	0.8361	0.9108	1.0000	0.8941	0.9441	0.1959
GO_MF	94	1.0000	0.9787	0.9892	1.0000	0.9851	0.9925	0.0000
MOP	101	1.0000	0.9208	0.9588	1.0000	0.9532	0.9760	0.0000
NCBITaxon	3101	0.0000	0.0000	0.0000	0.9719	0.6845	0.8033	0.0597
PR	6409	0.0000	0.0000	0.0000	0.9980	0.2978	0.4587	0.8750
SO	3446	1.0000	0.9701	0.9848	1.0000	0.9807	0.9903	0.0388
UBERON	6551	0.0000	0.0000	0.0000	1.0000	0.5445	0.7051	0.9887
